D1,D2,D3,D4,D5,S1,S2,S3,S4,medsq2,precmed
-0.792866409,0.955278099,0.046761304,0.27148208,-0.11838682,-0.209634364,-0.266614348,-0.179941446,-1.095524669,696,42976
0.323308617,0.174641997,-0.610704899,0.646391571,0.360934585,-0.159713268,0.318491757,0.393619031,-1.730829477,919,119136
0.818585694,-0.092020601,0.082547605,0.956576109,-0.259779215,0.163582399,-0.115744881,0.289982527,1.088903069,#N/A,33928
-0.915785015,0.6376881,0.709702194,-0.02469448,0.849549174,-0.335757911,0.2343788,-0.400656074,-1.047362924,794,53832
-0.632828534,0.424048305,-0.242763653,-0.016478937,0.033605613,-0.082375437,0.163176209,-0.550747991,-1.294709802,610,37396
0.559320152,-0.029670442,0.184226915,0.394836128,-0.343997777,0.461284548,-0.544898331,-0.07038141,-1.317145228,#N/A,30796
1.241461992,0.27614814,0.803256452,-0.685546398,-0.062518239,0.382766902,-0.786494017,-0.23997508,-1.307216406,#N/A,17708
-1.307990074,0.110630535,-0.047909498,0.292302251,-0.0266442,-0.686466038,-0.803564668,0.011231869,-1.063379288,552,40321
-1.244217634,0.16325739,-0.279869735,0.226791084,-0.181580305,-0.558861196,-0.386949778,0.131911412,-1.625862122,671,41105
-1.168697476,0.041066494,1.199610472,-0.011058882,0.142740995,-0.986085951,-0.78599292,0.3280707,-1.017429113,#N/A,43916
-0.981107473,-1.180527329,1.135581136,0.798013568,-0.212987483,-0.807773292,-0.634887934,0.771990657,1.314188361,615,44155
0.495432556,0.0346107,0.437744856,0.912037015,1.525081396,-0.892602205,0.351926506,0.826126635,1.207346797,701,34885
-0.257682592,-0.511197329,-0.828470826,0.218619958,1.631249547,-0.501024902,0.995027661,0.002711236,1.046814561,#N/A,12943
-0.510949969,1.433208585,-0.900538564,0.058978304,2.485996246,0.15075478,0.881480753,-0.974020839,-1.031081557,639,28574
-1.53119266,-0.343362659,0.476216257,0.081018962,0.012042683,-1.069503903,-0.487705052,0.327207446,-2.02974391,751,49072
-2.019140482,-0.454440296,-0.146177351,-0.124923617,-0.678338468,-1.43726337,-0.256384909,0.355579406,-2.152675629,694,50298
-2.401787758,-0.995207727,0.480882764,0.175923795,-0.880985856,-1.715095758,-0.105704308,0.416032821,-1.459167004,644,45703
-1.570651889,-0.411788583,0.220400393,-0.131771639,-0.422020823,-1.041043878,-0.476812899,0.51214391,-1.665081859,637,36257
-1.539235473,-0.551457465,-0.246810555,-0.268351853,-0.526407301,-1.655014634,0.999810636,0.052294016,1.197533846,699,49287
-2.207502842,-0.64803046,-0.221144378,-0.443612665,-0.608304799,-1.598762274,0.862623572,-0.363896191,1.016581059,709,54936
-2.235645294,-0.651851356,-0.51497823,-0.263729393,0.188989222,-1.927182198,0.867169321,-0.038510785,1.307238817,669,39361
-1.51190567,0.026446864,0.277633697,0.062060378,0.019549323,-1.294455528,-0.754324615,0.081337027,-1.554443717,659,34371
-1.79364717,-0.692553282,0.974684834,0.071494035,-0.196164712,-1.381571531,-0.880044341,0.610008955,-1.525267363,613,35992
1.074300647,0.493244439,-0.324391901,0.077328533,-0.159793854,1.67466557,-0.716029644,-0.175542414,-1.380997181,#N/A,28525
-1.640844822,-0.403900415,0.453633547,0.033575542,-0.22269012,-1.109771848,-0.305733889,0.199865177,-1.929526567,975,67805
-1.848393798,-0.462922275,-0.478799611,-0.147796631,-0.946840644,-1.513142705,-0.409464121,0.364510924,-2.161539555,706,34894
-2.292397261,-0.747537851,0.073726431,-0.183780894,-0.429865569,-1.941013098,-0.40580982,0.682571292,-1.413004637,626,39766
-1.883076668,-0.900489509,0.336082399,0.286906809,-0.617738545,-1.745245934,0.005349278,0.617391407,1.174040079,#N/A,40696
-1.669149876,-0.614166498,-0.420866281,0.174635321,-0.161593065,-1.566648483,0.857633948,-0.322716951,1.660030842,#N/A,28782
-2.325223923,-0.868635893,-0.130730778,-0.003487557,-0.85472399,-1.394070268,0.843709707,-0.305123121,1.15229249,#N/A,32093
-2.077076674,-0.679888189,0.182834148,-0.139204815,-0.65978241,-1.393362045,-0.124568023,0.384136796,-2.40136981,802,102269
-1.718173027,-0.585556388,0.768870533,-0.22276713,-0.273822129,-1.147297144,-0.485102177,0.319118857,-1.832892895,#N/A,28960
-1.317968249,-0.348819494,0.513572454,-0.220333084,0.566651762,-1.063646436,-0.029873319,0.114364907,-1.53758347,623,30126
-1.550744295,-0.201923758,-0.393471539,-0.023444615,0.998580039,-1.338250637,-0.228140414,0.154339954,-1.99675262,#N/A,44600
-2.004166603,-0.472902358,-0.754584193,-0.257290244,0.573293567,-1.491663337,0.885093927,-0.348983854,1.135320187,#N/A,48302
-1.948565245,-0.331703246,-0.454041123,-0.263778299,0.44244653,-1.731653452,0.70920074,-0.220402792,1.258214474,785,54802
-2.508870602,-1.049654007,0.215028405,-0.326230466,-0.520135045,-2.369974852,0.775122881,0.11251387,1.807261586,#N/A,21066
-2.053614855,-1.121086001,0.766592145,-0.118312925,-0.649591267,-1.488502145,-0.364936233,0.548965454,1.168657422,702,45086
-2.323118687,-1.168951035,0.5989483,0.173729926,-0.775235176,-1.816336513,0.033496693,0.647433817,1.020673156,898,91985
-2.086269855,-1.257217646,0.586898983,0.322170615,-0.92011708,-1.817326665,-0.389817655,0.891447425,1.46665585,1018,109993
-2.200240612,-1.204429626,-0.050168782,0.013988435,-0.918782234,-1.701555967,0.625015259,0.050831564,1.009610295,820,117255
-2.122291327,-0.363883346,1.223831654,0.025967166,0.004562136,-1.191250205,-0.314777315,0.269353956,1.122772098,984,85098
-2.069191933,-0.621495128,1.328594446,0.118884876,-0.32879594,-1.197055936,-0.418377995,0.395277381,1.233909249,796,50478
-2.20824337,-0.803610146,1.259812236,-0.132133782,-0.336939931,-1.626731634,-0.294720858,0.398928463,1.119679689,707,52477
-1.909699559,-1.232220411,1.256678343,0.205672145,-0.53252697,-1.244044065,-0.839721084,0.676924706,1.235679746,807,59456
-2.504329443,-1.097567916,1.09502542,0.220408559,0.502881467,-1.814549208,-0.454886615,0.714089632,1.711392879,654,50272
-2.380603075,-1.377173662,1.291088581,0.153274357,-0.814699531,-2.028062105,-0.573377907,0.872951865,1.678456068,1059,93569
-2.151264668,-1.060119748,1.30057323,0.016317993,-0.207706839,-1.560469151,-0.496468991,0.433310449,1.087633967,885,68214
-2.679725647,-1.226493597,1.429263473,0.017178379,-0.56338948,-2.172415018,-0.605506122,0.781756103,1.003042579,1281,113758
-2.472258329,-1.419211745,1.497762442,0.193752676,-0.601129413,-1.902848244,-0.689869106,0.826920629,1.06379199,1321,93756
-2.385233879,-1.634059787,1.224845409,0.336824954,-0.87616396,-1.929753542,-0.468366712,0.72487247,1.855270386,1456,123895
-2.559983492,-1.333081007,1.26093173,0.180569753,-0.858325601,-1.922915697,-0.450673223,0.747878313,1.397583127,1430,123798
-2.318286896,-0.410463005,0.920075297,-0.147628933,1.165460467,-1.817111254,-0.340782672,0.564300776,1.32324481,1114,79796
-2.442917109,-0.687205672,0.892300725,-0.144223154,1.350102305,-2.022925377,-0.305593729,0.743866026,1.375852585,1211,88844
-2.136298895,-0.487923026,-0.70897907,-0.266633898,-1.19125092,-1.61241281,-0.229528889,0.421140283,-1.699642181,1302,139284
-1.59832561,0.696753263,-0.510177433,-0.267537266,2.415806055,-1.437972784,-0.326248884,0.094844572,-1.830846786,1043,65348
-2.4332726,-1.507874012,0.304411471,0.233523041,-1.305527925,-1.864174843,0.081893973,0.262839586,1.065803766,2143,191431
-2.614251375,-1.718661666,0.609816968,0.033007063,-1.615534782,-2.46071434,-0.318720847,0.95367831,1.554109931,1210,78095
-2.398607254,-1.755353808,0.854513466,0.433968574,-1.266379476,-2.058567047,-0.362827152,0.989946723,1.555721879,1652,125963
-2.646406889,-1.641376376,1.097678423,0.123154148,-1.141164303,-2.318006277,-0.630369484,0.958003759,1.521687388,1409,127305
-1.455758572,-0.104959242,-2.889371157,-1.096908331,-1.393294573,-1.781240702,0.695648551,0.319237709,-3.425204992,1147,80466
-0.992807806,-0.619394183,0.817063689,-0.373335809,0.363732696,-0.458141536,-1.16107595,0.198893696,-1.054838419,772,77889
-1.304883122,-0.677897871,0.915169656,0.311749667,0.090705939,0.031955183,-1.990130544,0.962272882,-1.456922054,786,48414
-1.316920996,-0.507087111,0.641476095,0.339804024,-0.504227638,-0.619497955,-1.798200369,0.519434452,-1.405755758,762,57239
0.649662554,0.624744594,1.404388905,-0.848375201,0.26600647,0.892802775,-1.240055561,-0.848828137,1.03130281,824,67451
0.004592758,0.272938073,-1.237992167,0.546138525,0.227242142,0.457231909,1.479104161,-0.32650283,-1.223056316,585,34950
-1.669212461,-0.366529584,1.586131096,-0.348266244,0.072947815,-0.796335995,-1.622219563,0.559811234,-1.382301807,834,58179
-1.410633445,-0.205163747,-1.066322088,-0.002881959,0.448801398,-0.678288639,1.318100333,-0.270658612,1.200817943,956,63860
-0.475973874,1.586054206,-1.036844969,0.587784111,0.655099809,-0.268690526,1.032802463,-0.931392729,-1.281287909,810,64947
0.591766298,-0.067576379,1.333945751,-1.286664367,0.371172071,-0.220734283,-1.626608014,0.051793009,-1.098443151,582,24775
-0.157529622,0.61295855,-3.277681351,-0.951509118,2.311179161,0.40658319,1.847965121,-0.309071183,1.247240186,761,51811
-0.484597445,0.737988591,-5.807716846,-1.020121336,-2.307677507,-0.127791673,1.745635271,-0.083930582,-2.121947527,684,54120
0.301589966,-0.630363643,0.757041931,-0.096598148,0.618025184,1.351821184,-2.298303604,0.833279371,-1.654573917,647,53018
-1.167459488,-0.318207771,0.633750737,-0.678994536,0.404507726,-1.123231769,-1.270826221,0.216101348,-1.970705867,853,80923
-1.530636191,-0.490177989,-0.642512321,0.084286988,0.575913787,-1.395076871,1.045782804,-0.379067123,1.527987838,651,35349
-1.932640314,-0.503310502,0.529757023,0.094719619,-0.352221727,-1.604060292,-1.189699888,0.616093218,-2.920987368,743,56256
0.028140396,0.461559236,1.356124163,-0.590038896,0.026519917,1.150485635,-2.72978282,-0.437205791,-1.153496146,793,67921
-1.463160157,-0.802957296,1.121824026,-0.654779434,0.050148208,-1.263712287,-1.048148394,0.639898002,-1.143281221,913,89331
-1.642649412,-0.74581641,1.148962379,-0.903717995,-0.022878166,-1.683010817,-1.127332568,0.716753244,-1.360252857,631,78478
-2.261263371,-0.656271815,1.354263306,-0.134264037,-0.124380246,-1.854071856,-1.348638058,0.877829015,-1.792114735,716,68886
5.641952991,-0.360917866,1.976025343,-2.97831893,0.480703056,4.815472126,-3.196158409,-0.463836223,1.206757307,669,45386
3.343912125,1.418515205,1.393614054,2.286668062,-0.637465119,2.718179226,-1.213941097,0.072172061,1.199020505,627,49889
14.88289928,3.057123423,4.137392521,-2.009876013,-1.555110693,8.554636002,-3.668291092,-0.022958785,1.283115983,992,77901
0.676320374,0.693672299,-0.721592665,0.753142595,-0.481398553,0.713703752,0.2154627,1.038295984,-1.498411894,1281,118569
-1.653840184,-0.75972569,1.109273195,0.056381099,-0.353849828,-1.258269072,-0.679983318,1.189668894,-1.259292603,1234,117988
-2.240826368,-1.658346295,1.336571932,0.38969779,-0.830329895,-2.050403357,-0.765964687,1.320085287,1.978260756,1102,78724
-2.440844297,-1.496229172,1.248580575,0.097139344,-0.916860938,-1.963412762,-0.577351689,1.107376337,1.347573996,923,85166
-1.981032968,-2.150997877,0.883305669,0.744995475,-1.081412792,-2.087756634,-0.716888547,1.508381128,2.208936691,1281,103959
-2.771744967,-1.900482535,1.392430425,0.352365881,-1.474818468,-2.385918617,-0.881056607,1.517353177,1.819953561,2074,200699
0.421072543,-0.829216242,0.360169113,1.782271743,-0.275006711,0.147739023,-1.022105217,1.467758656,1.781304836,889,79519
-0.165845066,-0.926759064,1.308354735,1.16233933,-0.444354117,-0.135238707,-1.077109814,1.141456604,1.018747449,872,81588
0.487438679,0.897914231,-4.217599392,-0.489557326,-1.960263729,0.326816171,1.824264884,1.044972539,-1.232442379,810,63438
-0.636787534,2.233554363,-1.037950993,0.959757984,1.750287652,0.870551765,1.479481459,-1.78357482,-1.5925982,1600,149474
-1.6759938,-0.705442548,0.979120553,0.026930451,-0.197866634,-1.084269762,-1.227837443,1.2590909,-1.350410104,794,69928
-2.067544699,-0.867476881,0.742766261,0.147416547,-0.45298335,-2.073934317,-1.285897374,1.107788205,-2.703864336,1273,109588
-1.864985108,-0.978731096,1.054325581,0.087381542,-0.171447158,-1.431828976,-1.023184657,1.63394475,-1.733256221,802,74528
8.069178581,2.549329519,2.067370415,-0.360285908,-0.517315745,7.954835892,-5.276101589,-1.655689836,1.873854876,1163,83563
4.707784653,0.744830608,1.922751546,-1.621143579,0.481283605,5.439142227,-4.021352768,-1.531951189,1.104290962,823,81763
-2.188054085,-1.546991348,0.024694076,0.023344848,-1.621996999,-1.993322849,-1.270259142,1.515117884,-1.987795472,774,36819
-2.28307724,-1.509104609,1.532761812,-0.015373573,-1.044674754,-1.352057099,-1.026344299,1.052168846,1.384641767,822,62486
-2.753894091,-1.996225119,1.943585396,0.114707187,-1.194306254,-2.439495564,-1.365063667,1.434233189,1.404917359,#N/A,23706
-0.856255114,0.519865215,0.382321477,0.495753348,0.237246916,-0.096252866,0.393164098,-0.500324845,-0.014987702,751,65966
-0.903417349,-0.193353042,0.464895785,0.013770536,0.20104751,-0.442335457,-0.520685554,0.022640556,-0.333970964,740,59131
0.749091983,-0.93975389,0.551159084,0.784279823,-0.236744806,0.089241982,0.047455966,0.671341956,0.978196621,562,24259
-0.660148025,-0.576838493,0.189445168,0.432700038,0.772177875,-0.542816639,-0.312654465,0.64910084,0.806920826,#N/A,38714
-0.436719269,0.006818751,0.362650871,0.608365357,-0.184118897,-0.252226502,0.209190935,-0.243936747,0.471123457,#N/A,57312
-0.570641756,0.263231009,0.636536002,0.164375991,0.374531567,0.125826746,0.042162865,-0.616703808,0.140462175,#N/A,22618
0.298720926,0.534982085,0.51493758,0.614177227,-0.102673978,0.435253948,-0.319343477,-0.267809719,0.016906854,#N/A,35464
-0.810858786,-0.710852563,0.989514351,0.385258943,-0.118914068,-0.667398512,-0.2925632,0.348328412,-0.079232581,745,48956
-0.766903102,0.949131429,-0.670982242,0.350730032,0.089952871,0.164186031,0.555133462,-0.733588159,-0.595957696,#N/A,28850
-1.350085855,0.619116426,-0.162111729,0.052833974,0.318226427,-0.430213153,-0.289034069,-0.462983072,-0.040535498,#N/A,33642
-1.288572431,-0.182220861,-0.940820396,0.174265265,0.850554466,-0.813881993,0.91691637,-0.892226279,0.390856892,768,44100
-1.322404861,-0.489673764,-0.21742709,-0.442276359,0.178599507,-0.734456778,0.647496939,-0.137907758,-0.699145496,#N/A,86006
-1.368856192,-0.42731902,0.862556338,0.144023776,-0.175391257,-0.887604475,-0.682764947,0.249436617,0.477481633,#N/A,31526
-1.20733285,-0.389808685,0.484990597,-0.023526341,0.248663977,-0.962269425,-0.340020359,0.306061894,0.792255461,#N/A,29461
-1.549715877,-0.041256197,0.583811641,0.098201178,-0.031382322,-0.943974614,0.043285437,-0.163236111,-0.990140796,1827,146479
-1.432002783,-0.462864637,0.08185783,-0.227268517,-0.061454453,-0.985590041,0.57291925,-0.225541309,0.304888785,1725,130947
1.390940189,1.240395308,0.591260731,0.822590232,0.939071774,0.735031962,-0.096557081,-0.510408044,0.159929574,1414,106730
0.549197316,-0.151935279,1.16305542,-0.598682046,0.059948217,0.268384695,-0.929729104,0.282340765,0.229741901,1152,85341
-0.70532912,0.215192795,-2.352882385,0.29244262,-0.372660935,0.536067784,0.531040251,-0.539380848,-0.618848443,1005,79428
0.27798903,0.471611112,-1.221416473,0.663008213,0.121593818,0.863499939,0.992942631,-0.45633927,-0.575493038,1440,112741
-0.550146759,1.067834377,-2.500388622,0.3050946,0.280306041,0.772452414,0.946760714,-0.764577448,-0.861311018,2330,228897
-0.69938302,1.293737531,-0.488406777,1.244859934,-0.648702979,-0.045473777,0.130921423,-0.765600741,0.170173422,1433,139744
-0.304026604,0.574187696,0.294662178,0.460247785,1.090111494,-0.263488293,-0.305672169,-0.221296355,-0.338934243,996,102654
-0.196904361,-0.114901528,-0.015432015,0.046047054,1.663833499,-0.438779593,0.386538565,0.039265782,0.03261615,1734,160207
-0.677774072,0.746831,-0.643960834,-0.06015002,1.332897663,-0.140385896,0.776876748,-0.964934587,0.074045047,3113,461342
0.152580529,0.710178256,-0.224777013,0.902931988,1.310007334,0.665260673,-0.288348258,-0.743894339,-0.587207019,2342,348436
-0.454427123,0.600310743,-0.942759752,0.320847183,2.372656584,0.097776949,-0.672194004,-0.145014673,-0.517906904,804,58779
-0.361224115,-0.054274667,0.340334475,0.234143734,1.33418417,-0.605964839,-0.262224585,0.458140314,0.646848142,982,230816
-0.891297102,0.729481995,-0.020711809,0.291592598,1.952753544,-0.743887901,0.253831685,-0.538106024,-0.273331136,1204,98583
-0.191962764,-0.449753463,-0.516331196,0.734308243,1.508218765,-0.804020226,0.887639642,-0.109984726,0.711060166,1000,109639
-1.212358356,0.473864406,-0.549231768,-0.117320515,1.638350248,-0.757597387,0.619109809,-0.672365069,0.113459006,720,65293
0.759865463,1.059971213,-0.218660712,0.828511834,1.497742772,0.63558352,0.162404001,0.024358064,0.078792855,849,62934
0.224269524,1.590711355,0.471554101,-0.22037679,2.497884512,0.151570544,-0.063153565,-0.841777444,0.518173993,1069,92858
-0.733069062,0.824031174,1.086723328,-0.308632314,1.817281365,0.078811392,-0.610641778,-0.777558804,0.966946661,#N/A,29208
-0.373702824,1.239996672,-1.958273649,-0.112157874,2.370748281,0.637646377,0.963882327,-0.921491027,-0.337509692,1158,168445
1.210309625,0.455495298,0.604559124,1.185400605,2.021661282,0.564281464,-0.743882,0.229161307,0.26493907,1229,105751
0.530075133,0.7334975,0.020556748,0.373287648,0.368939847,1.04044199,-0.822965562,-0.430219442,-0.326136529,784,90444
